"control_S0_L001_quant","control_S64_L001_quant","control_S40_L001_quant","case_S110_L001_quant","case_S65_L001_quant","case_S52_L001_quant"
"ENSG00000165113.13",86,197,221,59,65,226
"ENSG00000165115.15",109,137,182,60,141,235
"ENSG00000165118.15",293,282,292,418,388,422
"ENSG00000165119.21",10644,12492,14375,17302,14267,14305
"ENSG00000165120.5",0,0,0,0,1,3
"ENSG00000165121.12",48,50,48,55,54,39
"ENSG00000165124.19",36,26,13,38,20,19
"ENSG00000165125.22",5,1,7,8,10,9
"ENSG00000165131.8",0,0,0,0,0,0
"ENSG00000165138.18",817,786,666,1055,1446,649
"ENSG00000165140.12",691,558,850,2943,2074,545
"ENSG00000165152.9",568,555,531,604,425,402
"ENSG00000165156.15",861,1293,1435,722,980,984
"ENSG00000165164.14",0,4,0,2,8,17
"ENSG00000165168.8",57,46,47,66,108,70
"ENSG00000165169.11",829,767,841,761,670,999
"ENSG00000165171.11",48,36,30,48,45,25
"ENSG00000165175.17",413,396,425,1024,564,366
"ENSG00000165178.9",1,0,3,10,0,2
"ENSG00000165181.17",0,0,2,0,1,3
"ENSG00000165182.12",0,0,0,0,0,0
"ENSG00000165185.15",192,221,237,146,280,232
"ENSG00000165186.12",23,27,22,181,118,176
"ENSG00000165188.14",36,38,17,39,13,34
"ENSG00000165192.14",0,1,1,0,0,0
"ENSG00000165194.15",11,11,32,16,22,60
"ENSG00000165195.16",678,527,673,306,494,727
"ENSG00000165197.5",0,0,1,0,4,2
"ENSG00000165202.3",0,0,0,0,0,0
"ENSG00000165204.3",0,0,0,0,0,0
"ENSG00000165209.19",587,880,1017,857,806,1023
"ENSG00000165215.6",4438,3431,3704,7421,4519,2985
"ENSG00000165219.23",492,575,622,743,691,569
"ENSG00000165233.18",619,482,492,742,663,354
"ENSG00000165238.17",67,33,61,238,205,105
"ENSG00000165240.22",187,303,267,203,235,412
"ENSG00000165244.7",261,384,348,331,375,371
"ENSG00000165246.15",0,0,0,0,0,0
"ENSG00000165259.14",0,0,0,0,0,4
"ENSG00000165264.11",1004,1360,1294,1162,1546,1381
"ENSG00000165269.13",65,37,64,24,80,66
"ENSG00000165271.17",656,527,586,1091,998,725
"ENSG00000165272.16",161,191,125,1349,383,551
"ENSG00000165275.10",97,83,92,127,172,84
"ENSG00000165280.18",2770,2177,2253,6172,3681,2115
"ENSG00000165282.14",242,298,201,533,448,288
"ENSG00000165283.16",2290,2207,2028,3560,3234,1779
"ENSG00000165288.11",333,423,419,321,345,578
"ENSG00000165300.8",4,4,1,0,8,5
"ENSG00000165304.8",385,616,629,862,866,750
"ENSG00000165309.14",0,0,0,3,0,1
"ENSG00000165312.7",799,818,1191,459,361,872
"ENSG00000165322.18",1844,2326,2849,1201,1780,2771
"ENSG00000165323.16",2,0,2,1,4,0
"ENSG00000165325.15",0,0,0,0,3,0
"ENSG00000165338.17",169,201,188,67,267,412
"ENSG00000165349.12",1,0,0,0,0,0
"ENSG00000165355.8",706,655,854,332,516,811
"ENSG00000165359.16",125,144,145,78,162,159
"ENSG00000165370.3",0,0,0,0,0,0
"ENSG00000165376.12",1216,2944,1780,9654,2460,3578
"ENSG00000165379.14",0,0,0,0,0,1
"ENSG00000165383.11",0,0,0,0,0,0
"ENSG00000165389.7",1218,1705,1779,965,1402,2292
"ENSG00000165392.11",363,360,430,313,536,446
"ENSG00000165406.16",407,240,260,521,323,284
"ENSG00000165409.18",2,1,2,2,10,9
"ENSG00000165410.15",276,305,370,193,326,465
"ENSG00000165416.15",891,1294,1660,1511,1210,1498
"ENSG00000165417.12",918,1393,1370,703,948,1904
"ENSG00000165424.7",38,28,28,38,29,38
"ENSG00000165434.8",319,358,353,485,926,1234
"ENSG00000165443.12",0,0,0,3,0,3
"ENSG00000165449.12",21,6,23,37,42,36
"ENSG00000165457.15",0,0,0,0,0,0
"ENSG00000165458.15",796,679,633,1208,868,720
"ENSG00000165462.5",0,0,0,0,0,0
"ENSG00000165471.7",0,0,0,0,0,0
"ENSG00000165474.8",205,252,247,1088,366,321
"ENSG00000165475.15",1195,1173,1169,643,891,737
"ENSG00000165476.14",1952,2701,2637,2367,2077,3813
"ENSG00000165478.7",0,0,0,0,0,0
"ENSG00000165480.16",104,225,281,444,426,277
"ENSG00000165487.14",1682,2538,2521,1281,2286,3642
"ENSG00000165490.13",84,179,173,176,206,132
"ENSG00000165494.12",842,1063,1154,633,1005,1222
"ENSG00000165495.16",0,0,0,2,0,0
"ENSG00000165496.5",35,30,24,115,88,108
"ENSG00000165501.17",233,283,263,365,391,406
"ENSG00000165502.7",4231,3885,4497,6535,4483,4959
"ENSG00000165506.15",657,1124,1021,456,675,1512
"ENSG00000165507.9",529,138,240,1148,203,248
"ENSG00000165509.13",0,0,0,0,0,0
"ENSG00000165511.6",40,19,42,40,31,35
"ENSG00000165512.5",301,290,285,283,244,430
"ENSG00000165516.11",1658,1629,1436,572,966,2287
"ENSG00000165521.16",12,5,13,15,13,58
"ENSG00000165525.18",1628,2283,2950,1621,1968,3727
"ENSG00000165526.9",479,557,496,811,657,405
"ENSG00000165527.8",5398,5502,5839,6635,4905,6358
"ENSG00000165533.19",389,239,268,324,333,448
"ENSG00000165548.11",4,1,14,3,2,1
"ENSG00000165553.5",0,0,0,0,0,0
"ENSG00000165555.10",10,11,8,3,19,3
"ENSG00000165556.10",765,420,541,734,533,294
"ENSG00000165566.13",0,1,0,0,1,3
"ENSG00000165568.18",14,12,13,23,19,21
"ENSG00000165572.8",239,641,574,204,460,701
"ENSG00000165583.16",0,0,0,0,0,0
"ENSG00000165584.16",0,0,0,0,0,2
"ENSG00000165588.19",0,0,0,0,0,0
"ENSG00000165591.7",102,133,126,167,119,98
"ENSG00000165606.10",12,5,6,20,3,2
"ENSG00000165609.13",907,1004,1194,2028,1556,944
"ENSG00000165617.15",24,9,19,10,13,7
"ENSG00000165621.9",1,1,4,2,2,1
"ENSG00000165623.10",0,0,0,0,0,0
"ENSG00000165626.19",225,239,222,238,156,208
"ENSG00000165629.20",4375,5266,5914,5070,5137,4373
"ENSG00000165630.14",406,450,470,396,397,453
"ENSG00000165632.9",241,244,287,418,287,283
"ENSG00000165633.13",3,10,16,4,15,26
"ENSG00000165637.14",5041,4556,5585,7282,4390,3568
"ENSG00000165643.11",0,0,0,2,1,4
"ENSG00000165644.11",563,615,521,353,520,498
"ENSG00000165646.14",6,4,6,0,0,31
"ENSG00000165650.12",5083,5572,5243,5489,4058,5189
"ENSG00000165655.17",12,18,15,39,22,98
"ENSG00000165660.8",281,362,381,498,415,366
"ENSG00000165661.17",326,378,397,492,491,300
"ENSG00000165669.14",976,839,967,828,1101,1059
"ENSG00000165671.22",625,569,439,1151,689,394
"ENSG00000165672.7",3342,6986,7735,3778,4336,6237
"ENSG00000165675.19",142,136,172,215,168,160
"ENSG00000165678.22",5761,6214,6092,8022,6456,4958
"ENSG00000165682.15",0,0,0,0,0,0
"ENSG00000165684.6",214,170,153,354,417,229
"ENSG00000165685.9",6,5,4,1,2,3
"ENSG00000165688.12",874,902,879,1356,1350,733
"ENSG00000165689.17",493,639,535,848,1066,669
"ENSG00000165694.11",0,0,0,0,0,0
"ENSG00000165695.10",6,2,3,8,2,4
"ENSG00000165698.16",23,12,28,42,11,12
"ENSG00000165699.15",607,534,558,597,659,499
"ENSG00000165702.15",0,0,0,0,0,0
"ENSG00000165704.15",781,1037,1464,905,980,1423
"ENSG00000165714.11",58,44,56,115,75,64
"ENSG00000165716.11",20,11,8,15,68,58
"ENSG00000165724.6",568,608,648,807,1013,560
"ENSG00000165730.16",37,37,53,51,73,97
"ENSG00000165731.21",0,1,2,7,0,4
"ENSG00000165732.14",5255,7078,8974,7068,8290,8125
"ENSG00000165733.8",1239,996,1120,2388,1905,1141
"ENSG00000165752.17",294,383,385,445,288,212
"ENSG00000165757.9",13,13,21,68,5,24
"ENSG00000165762.3",4,0,0,0,0,2
"ENSG00000165775.18",649,629,611,687,673,833
"ENSG00000165782.11",960,596,583,950,842,710
"ENSG00000165792.18",578,564,571,634,1045,817
"ENSG00000165794.10",0,0,0,0,0,4
"ENSG00000165795.25",63,85,45,165,195,250
"ENSG00000165799.5",0,0,0,0,0,0
"ENSG00000165801.10",46,43,44,178,143,209
"ENSG00000165802.23",758,665,683,1309,1009,712
"ENSG00000165804.16",293,201,223,583,500,436
"ENSG00000165805.10",119,98,119,103,183,149
"ENSG00000165806.21",733,616,649,1108,1090,860
"ENSG00000165807.8",12,9,6,15,17,48
"ENSG00000165810.17",1578,1223,1530,718,1520,833
"ENSG00000165813.20",1464,1559,1782,931,1411,2090
"ENSG00000165816.13",154,176,152,289,207,386
"ENSG00000165819.12",328,497,496,478,718,668
"ENSG00000165821.12",0,0,0,0,2,0
"ENSG00000165828.15",23,3,37,22,46,13
"ENSG00000165832.6",943,1864,1319,556,1192,1619
"ENSG00000165837.12",2,1,1,0,0,0
"ENSG00000165841.11",32,57,42,13,79,25
"ENSG00000165861.14",170,118,101,203,82,152
"ENSG00000165863.17",0,0,0,1,0,4
"ENSG00000165868.16",48,63,41,78,55,73
"ENSG00000165874.13",4,4,5,4,0,9
"ENSG00000165879.9",70,28,38,75,74,53
"ENSG00000165886.5",104,62,56,236,116,93
"ENSG00000165887.12",0,0,1,0,0,0
"ENSG00000165891.16",287,452,634,201,314,356
"ENSG00000165895.19",1047,1170,1290,1045,1367,1448
"ENSG00000165898.14",309,288,266,349,361,508
"ENSG00000165899.12",7,7,9,8,10,28
"ENSG00000165905.18",121,190,214,447,221,154
"ENSG00000165912.16",635,666,703,1264,876,613
"ENSG00000165914.15",48,32,54,103,64,61
"ENSG00000165915.14",282,189,196,310,290,221
"ENSG00000165916.9",2698,2499,2241,5661,4203,2183
"ENSG00000165917.10",23,6,8,2,10,23
"ENSG00000165923.17",3,3,8,4,9,5
"ENSG00000165929.13",1803,1996,2144,1250,1575,2562
"ENSG00000165934.13",961,1460,1485,1535,1472,1692
"ENSG00000165935.9",10,6,6,4,2,5
"ENSG00000165943.5",735,585,619,796,653,838
"ENSG00000165948.11",266,300,359,280,421,395
"ENSG00000165949.13",11419,15642,14315,21895,26477,27172
"ENSG00000165953.10",0,0,0,0,0,0
"ENSG00000165959.12",496,502,511,610,576,790
"ENSG00000165966.16",0,0,0,1,0,0
"ENSG00000165970.12",0,0,0,0,0,0
"ENSG00000165972.13",0,2,0,1,1,3
"ENSG00000165973.19",0,0,0,0,0,0
"ENSG00000165983.15",288,449,457,273,266,411
"ENSG00000165985.10",11,13,6,6,20,9
"ENSG00000165995.23",3,6,3,1,20,10
"ENSG00000165996.14",324,580,579,267,216,365
"ENSG00000165997.5",952,978,1038,559,917,1158
"ENSG00000166002.7",317,288,337,332,405,321
"ENSG00000166004.15",381,545,583,311,596,689
"ENSG00000166006.14",5,3,3,0,21,41
"ENSG00000166007.11",0,0,0,0,0,0
"ENSG00000166012.17",4871,5631,6864,2886,4133,6414
"ENSG00000166013.11",0,0,0,0,0,0
"ENSG00000166016.6",142,87,120,226,136,128
"ENSG00000166024.14",244,186,160,372,290,217
"ENSG00000166025.18",4,0,1,3,25,12
"ENSG00000166033.13",0,1,0,0,4,3
"ENSG00000166035.11",2,1,0,3,2,10
"ENSG00000166037.11",2007,2557,2892,1267,1799,2559
"ENSG00000166046.11",186,147,111,83,110,92
"ENSG00000166049.11",0,0,0,1,0,81
"ENSG00000166068.13",2375,3033,2926,976,2074,3652
"ENSG00000166069.14",0,0,0,0,0,0
"ENSG00000166073.11",0,0,0,0,1,0
"ENSG00000166086.13",0,0,0,3,4,0
"ENSG00000166090.8",0,0,0,0,0,0
"ENSG00000166091.21",0,0,0,0,0,0
"ENSG00000166104.15",0,0,0,0,0,0
"ENSG00000166105.16",0,1,2,0,80,45
"ENSG00000166106.4",3,2,1,17,0,3
"ENSG00000166111.10",3,5,4,1,2,20
"ENSG00000166118.8",0,0,0,0,0,0
"ENSG00000166123.14",706,913,812,1383,887,450
"ENSG00000166126.11",1876,1383,1506,1156,1644,2287
"ENSG00000166128.13",214,218,300,152,259,405
"ENSG00000166130.15",683,1186,1194,563,749,1496
"ENSG00000166133.18",189,187,145,436,294,143
"ENSG00000166135.14",440,364,344,718,646,366
"ENSG00000166136.16",908,977,1061,1241,1670,889
"ENSG00000166140.17",372,451,370,471,477,312
"ENSG00000166143.10",4,3,3,10,15,1
"ENSG00000166145.15",3628,2601,2407,6550,2833,2024
"ENSG00000166147.15",61,28,25,74,94,107
"ENSG00000166148.4",0,3,0,5,10,22
"ENSG00000166152.4",0,0,0,0,0,0
"ENSG00000166153.17",22,29,26,27,36,51
"ENSG00000166159.11",0,0,0,0,0,0
"ENSG00000166160.9",0,0,0,0,0,0
"ENSG00000166164.16",988,1059,1163,1832,1447,1038
"ENSG00000166165.14",2049,1796,1672,3461,1778,7028
"ENSG00000166166.13",116,134,175,212,326,374
"ENSG00000166167.18",171,142,108,295,174,143
"ENSG00000166169.17",411,419,351,514,471,369
"ENSG00000166170.12",269,218,215,450,322,323
"ENSG00000166171.13",265,336,318,427,359,232
"ENSG00000166173.11",0,1,4,2,1,2
"ENSG00000166181.13",1998,2282,2217,2731,2372,2056
"ENSG00000166183.16",0,0,0,1,0,15
"ENSG00000166188.3",93,42,73,102,62,38
"ENSG00000166189.8",746,599,385,643,691,444
"ENSG00000166192.15",32,70,46,37,65,82
"ENSG00000166197.17",1178,1666,1924,2768,2429,1454
"ENSG00000166199.13",202,222,179,337,248,226
"ENSG00000166200.15",3267,4336,4117,1869,2265,4009
"ENSG00000166206.15",71,89,101,168,57,135
"ENSG00000166211.8",0,0,1,0,0,0
"ENSG00000166220.14",0,0,0,0,0,0
"ENSG00000166224.17",701,688,626,1483,850,599
"ENSG00000166225.9",481,485,459,339,462,588
"ENSG00000166226.13",7777,9458,7326,7926,10984,7588
"ENSG00000166228.9",923,1161,1158,2185,1240,740
"ENSG00000166233.15",881,901,1026,1115,1002,1058
"ENSG00000166246.14",0,3,9,5,11,16
"ENSG00000166250.12",1,2,0,0,0,7
"ENSG00000166257.10",0,1,0,0,0,3
"ENSG00000166260.13",1908,2183,2009,816,2843,3109
"ENSG00000166261.11",118,97,144,195,174,102
"ENSG00000166262.16",14,6,14,8,9,38
"ENSG00000166263.13",61,116,136,71,104,152
"ENSG00000166265.13",0,0,0,0,0,0
"ENSG00000166266.14",862,1103,1004,443,845,1122
"ENSG00000166268.11",12,9,8,32,96,35
"ENSG00000166272.18",721,533,407,949,664,545
"ENSG00000166275.16",1729,1914,2046,668,1623,2603
"ENSG00000166278.15",8,11,17,21,53,25
"ENSG00000166289.6",208,134,110,263,202,126
"ENSG00000166292.12",1,0,0,0,0,0
"ENSG00000166295.9",2395,2840,3661,2304,2403,3051
"ENSG00000166311.10",29,25,12,55,19,32
"ENSG00000166313.20",11,9,6,41,27,36
"ENSG00000166317.12",1,1,0,4,4,5
"ENSG00000166321.14",38,50,58,33,75,72
"ENSG00000166323.13",6,6,10,2,7,12
"ENSG00000166326.7",886,595,576,1113,1108,764
"ENSG00000166329.3",0,0,0,0,0,0
"ENSG00000166333.14",1070,1171,1085,2015,1130,892
"ENSG00000166337.11",860,632,594,740,861,709
"ENSG00000166340.18",727,772,649,1738,721,498
"ENSG00000166341.9",7,6,0,0,6,5
"ENSG00000166342.19",0,1,0,0,0,2
"ENSG00000166343.10",22,30,38,15,45,32
"ENSG00000166347.19",693,886,798,1250,1146,711
"ENSG00000166348.20",331,193,167,506,372,201
"ENSG00000166349.10",48,79,36,42,48,104
"ENSG00000166351.11",0,0,1,0,0,0
"ENSG00000166352.18",238,278,378,227,315,587
"ENSG00000166359.11",1,1,1,0,0,1
"ENSG00000166363.6",0,0,0,0,0,0
"ENSG00000166368.3",0,0,0,0,0,0
"ENSG00000166377.21",282,312,211,633,590,295
"ENSG00000166387.14",133,92,66,227,221,184
"ENSG00000166391.15",0,3,0,3,2,1
"ENSG00000166394.15",173,132,149,344,192,122
"ENSG00000166396.13",3,1,0,0,0,5
"ENSG00000166398.14",220,156,156,227,145,140
"ENSG00000166401.15",689,748,632,1430,950,525
"ENSG00000166402.9",0,0,0,0,3,0
"ENSG00000166405.15",1,0,0,0,0,0
"ENSG00000166407.14",0,0,0,0,1,1
"ENSG00000166408.4",0,0,0,0,0,0
"ENSG00000166411.14",582,627,621,1127,1038,625
"ENSG00000166415.15",803,788,642,220,545,1052
"ENSG00000166426.8",0,2,0,0,0,0
"ENSG00000166428.14",0,0,0,0,0,0
"ENSG00000166432.16",22,26,41,7,34,90
"ENSG00000166435.16",64,62,52,115,145,102
"ENSG00000166436.17",125,133,120,103,233,167
"ENSG00000166439.6",375,303,363,369,521,306
"ENSG00000166441.13",31155,31025,37521,40486,37993,25349
"ENSG00000166444.19",20,14,17,68,56,42
"ENSG00000166446.15",8,9,16,38,11,79
"ENSG00000166448.15",0,0,0,0,3,0
"ENSG00000166450.13",1,0,0,1,0,2
"ENSG00000166451.14",402,516,447,577,853,629
"ENSG00000166452.12",225,247,202,339,381,193
"ENSG00000166454.10",619,744,1014,902,678,750
"ENSG00000166455.14",16,19,8,15,9,0
"ENSG00000166471.11",1329,1933,2251,966,1500,1882
"ENSG00000166473.17",1,0,0,3,0,4
"ENSG00000166477.13",342,517,611,969,650,520
"ENSG00000166478.10",271,270,400,404,275,376
"ENSG00000166479.10",607,913,1078,964,1082,1213
"ENSG00000166482.12",0,3,0,2,4,0
"ENSG00000166483.12",1000,1173,1375,870,955,1261
"ENSG00000166484.20",169,134,132,201,225,91
"ENSG00000166492.9",0,0,0,0,1,0
"ENSG00000166501.14",7,1,0,10,16,15
"ENSG00000166503.9",5,9,11,3,17,21
"ENSG00000166507.19",118,111,88,147,163,118
"ENSG00000166508.18",2093,2274,1865,5470,3918,1861
"ENSG00000166509.12",0,0,0,0,0,0
"ENSG00000166510.14",1738,1464,1638,1144,2157,1358
"ENSG00000166523.8",0,0,0,0,0,0
"ENSG00000166526.18",385,291,253,318,330,280
"ENSG00000166527.8",0,0,0,0,0,0
"ENSG00000166529.16",61,62,54,110,98,58
"ENSG00000166530.8",0,0,0,0,0,0
"ENSG00000166532.16",33,44,61,71,101,117
"ENSG00000166535.20",0,4,0,0,15,7
"ENSG00000166546.14",4,0,0,1,3,2
"ENSG00000166548.17",348,243,323,588,370,273
"ENSG00000166557.14",4250,3806,3811,2902,4131,3686
"ENSG00000166558.11",0,0,0,1,0,0
"ENSG00000166562.9",1717,1306,1522,1654,1702,1788
"ENSG00000166569.8",0,0,1,0,0,0
"ENSG00000166573.6",0,0,1,0,2,0
"ENSG00000166575.17",385,860,877,285,552,1012
"ENSG00000166578.10",13,25,8,117,66,41
"ENSG00000166579.16",840,490,515,870,716,504
"ENSG00000166582.11",772,668,665,704,914,436
"ENSG00000166589.13",1,0,2,0,0,0
"ENSG00000166592.12",28,24,22,21,30,21
"ENSG00000166595.12",1113,1224,1325,1399,1212,832
"ENSG00000166596.15",0,0,0,1,0,2
"ENSG00000166598.16",22661,24781,27966,26688,20761,17806
"ENSG00000166603.5",0,0,0,0,0,0
"ENSG00000166619.15",1881,2281,2482,2796,1572,1358
"ENSG00000166634.7",0,0,0,0,0,4
"ENSG00000166664.15",1,1,0,1,0,1
"ENSG00000166669.14",143,115,146,92,279,180
"ENSG00000166670.10",1,4,4,10,10,5
"ENSG00000166676.17",2,3,3,1,9,3
"ENSG00000166681.14",347,332,335,684,408,629
"ENSG00000166682.13",14,9,5,11,37,14
"ENSG00000166685.13",424,222,256,686,455,268
"ENSG00000166689.16",521,446,485,533,709,539
"ENSG00000166693.7",0,0,0,0,0,0
"ENSG00000166704.13",2,1,4,1,1,8
"ENSG00000166707.12",0,0,0,0,0,0
"ENSG00000166710.22",21208,22528,23213,62605,30705,36724
"ENSG00000166716.10",461,334,314,658,480,262
"ENSG00000166734.20",3043,3672,3676,1271,2071,3659
"ENSG00000166736.12",2,0,0,2,2,0
"ENSG00000166741.8",2,16,6,1472,534,701
"ENSG00000166743.10",5,0,0,0,0,1
"ENSG00000166747.13",561,488,506,1004,867,530
"ENSG00000166750.10",349,244,309,481,278,368
"ENSG00000166762.19",68,66,88,34,112,87
"ENSG00000166763.8",7,2,16,9,4,8
"ENSG00000166770.12",0,0,4,2,4,0
"ENSG00000166780.11",8,1,6,10,19,7
"ENSG00000166783.22",558,411,582,623,638,664
"ENSG00000166787.3",0,0,0,0,0,0
"ENSG00000166788.10",138,268,243,227,235,210
"ENSG00000166793.13",2,0,0,0,3,4
"ENSG00000166794.6",9376,9286,9529,17313,12733,7888
"ENSG00000166796.12",1,1,0,0,7,2
"ENSG00000166797.11",1708,2320,2569,917,1655,2308
"ENSG00000166800.11",0,0,0,0,0,2
"ENSG00000166801.17",535,833,982,648,850,1234
"ENSG00000166803.14",793,1629,1640,933,1596,1599
"ENSG00000166813.16",36,18,26,149,62,63
"ENSG00000166816.15",145,81,80,248,179,158
"ENSG00000166819.12",1,5,2,0,8,7
"ENSG00000166821.9",95,103,108,175,124,134
"ENSG00000166822.13",493,559,691,420,570,607
"ENSG00000166823.6",2,4,3,13,12,13
"ENSG00000166825.15",13,1,14,39,19,15
"ENSG00000166828.3",1,0,0,0,0,0
"ENSG00000166831.9",7,3,2,33,28,5
"ENSG00000166833.23",26,24,29,84,24,85
"ENSG00000166839.17",14,14,10,18,22,39
"ENSG00000166840.14",1,0,0,1,1,0
"ENSG00000166845.15",97,284,271,116,223,286
"ENSG00000166847.10",919,728,824,1420,1108,692
"ENSG00000166848.7",794,667,787,1221,642,486
"ENSG00000166851.15",539,548,511,1669,1060,371
"ENSG00000166855.9",1008,1253,1294,1226,1293,1241
"ENSG00000166856.3",0,0,0,0,0,0
"ENSG00000166860.3",117,93,82,88,132,74
"ENSG00000166862.7",0,0,0,0,0,0
"ENSG00000166863.13",0,0,0,1,0,2
"ENSG00000166866.13",5,8,15,12,14,10
"ENSG00000166869.3",3,2,14,14,18,13
"ENSG00000166881.10",280,672,761,597,560,711
"ENSG00000166884.3",0,0,0,0,0,0
"ENSG00000166886.13",349,491,458,628,386,436
"ENSG00000166887.16",568,360,297,817,562,363
"ENSG00000166888.12",2370,1937,1683,3288,2568,1656
"ENSG00000166889.14",1045,806,695,1968,928,655
"ENSG00000166896.9",89,140,186,64,134,210
"ENSG00000166897.16",0,0,0,2,0,3
"ENSG00000166900.17",964,811,911,1363,1327,1070
"ENSG00000166902.5",557,896,1052,1270,1119,852
"ENSG00000166908.18",778,387,393,1238,719,380
"ENSG00000166912.17",453,583,600,821,675,717
"ENSG00000166913.13",3081,3038,3847,8390,4857,3392
"ENSG00000166917.11",0,0,0,0,0,0
"ENSG00000166920.13",1070,2441,2301,2198,927,1281
"ENSG00000166922.9",2,0,0,7,0,11
"ENSG00000166923.12",6,4,8,9,3,8
"ENSG00000166924.9",1,7,5,7,3,7
"ENSG00000166925.9",923,706,702,1195,809,608
"ENSG00000166926.9",0,0,0,0,0,0
"ENSG00000166927.13",0,1,0,1,0,1
"ENSG00000166928.11",0,0,0,0,0,0
"ENSG00000166930.7",0,0,0,0,0,0
"ENSG00000166938.13",185,204,185,269,256,160
"ENSG00000166946.14",907,708,746,790,619,578
"ENSG00000166947.15",0,0,0,1,0,0
"ENSG00000166948.10",0,0,0,0,0,0
"ENSG00000166949.17",450,452,411,1274,551,548
"ENSG00000166959.8",4,2,4,1,4,6
"ENSG00000166960.17",0,0,0,0,0,0
"ENSG00000166961.15",0,0,0,1,2,5
"ENSG00000166963.13",0,3,2,8,1,5
"ENSG00000166965.13",243,361,357,441,444,269
"ENSG00000166971.17",537,752,814,541,570,971
"ENSG00000166974.13",204,172,159,305,210,251
"ENSG00000166979.13",55,91,65,181,185,120
"ENSG00000166984.12",0,0,0,0,0,0
"ENSG00000166986.15",1659,2014,2035,2889,2402,1731
"ENSG00000166987.15",702,540,602,846,871,834
"ENSG00000166997.8",18,28,33,56,30,44
"ENSG00000167004.14",14099,13885,15541,29618,16231,11066
"ENSG00000167005.14",4019,6028,6016,2863,4737,6105
"ENSG00000167011.9",0,0,0,0,2,1
"ENSG00000167014.11",0,0,0,0,0,0
"ENSG00000167034.10",52,25,30,49,77,50
"ENSG00000167037.19",6,15,13,4,11,23
"ENSG00000167046.4",1,1,1,2,0,0
"ENSG00000167065.14",10,30,18,55,35,25
"ENSG00000167074.15",288,116,106,324,152,64
"ENSG00000167077.13",1,0,2,4,3,39
"ENSG00000167080.9",3,5,2,4,13,18
"ENSG00000167081.18",137,204,166,213,179,224
"ENSG00000167083.7",0,0,0,0,0,1
"ENSG00000167085.13",4422,5466,3876,5427,6273,3724
"ENSG00000167088.11",1713,2242,2475,2720,2969,2225
"ENSG00000167094.16",0,0,0,1,0,0
"ENSG00000167098.12",0,0,0,0,0,0
"ENSG00000167100.15",1,1,0,2,3,4
"ENSG00000167103.12",10,13,21,23,14,25
"ENSG00000167104.11",0,0,0,0,0,0
"ENSG00000167105.8",27,50,26,79,22,29
"ENSG00000167106.12",744,454,422,1738,734,455
"ENSG00000167107.13",9,6,21,11,22,32
"ENSG00000167110.19",2235,1726,1890,3104,2275,1661
"ENSG00000167112.10",569,659,552,1020,874,529
"ENSG00000167113.11",675,725,854,948,1079,668
"ENSG00000167114.13",292,307,371,904,680,307
"ENSG00000167117.10",1,4,2,6,5,2
"ENSG00000167118.11",1127,768,702,1376,1135,714
"ENSG00000167123.20",32,58,85,99,10,64
"ENSG00000167130.18",258,249,202,421,333,184
"ENSG00000167131.17",17,11,8,32,16,43
"ENSG00000167136.7",289,266,351,378,292,176
"ENSG00000167139.9",2,0,1,0,4,2
"ENSG00000167157.11",0,0,0,0,0,2
"ENSG00000167165.19",330,402,156,80,39,86
"ENSG00000167173.19",157,128,104,539,239,139
"ENSG00000167178.17",0,0,1,0,0,0
"ENSG00000167182.16",293,212,137,562,353,169
"ENSG00000167183.3",7591,8698,7952,6493,5749,5073
"ENSG00000167186.11",364,302,312,601,495,308
"ENSG00000167191.12",71,25,24,217,75,52
"ENSG00000167193.8",2542,2939,3239,2621,2411,3094
"ENSG00000167194.8",0,0,0,0,0,0
"ENSG00000167195.8",2,6,2,0,4,4
"ENSG00000167196.14",736,1164,1163,780,1220,1390
"ENSG00000167202.12",206,182,119,234,290,147
"ENSG00000167207.14",26,7,11,10,14,33
"ENSG00000167208.16",0,0,0,12,4,1
"ENSG00000167210.17",0,0,0,0,0,0
"ENSG00000167216.19",9,20,8,14,32,27
"ENSG00000167220.12",311,514,742,576,503,646
"ENSG00000167232.14",409,469,542,219,453,713
"ENSG00000167244.21",73,0,8,209,5,173
"ENSG00000167257.11",135,128,156,223,174,160
"ENSG00000167258.15",806,944,955,1134,955,880
"ENSG00000167261.14",0,0,0,0,0,0
"ENSG00000167264.18",98,161,151,348,252,103
"ENSG00000167272.11",217,368,367,351,474,388
"ENSG00000167280.17",300,370,354,347,546,449
"ENSG00000167281.20",1,1,1,0,2,1
"ENSG00000167283.9",3236,3558,3957,3610,3882,3583
"ENSG00000167286.10",0,0,0,0,0,0
"ENSG00000167291.16",185,172,111,562,249,125
"ENSG00000167302.11",264,205,240,228,365,216
"ENSG00000167306.20",1930,1097,1375,2057,1255,1074
"ENSG00000167311.14",3,2,1,1,2,2
"ENSG00000167315.18",1994,1891,1833,3016,1579,1303
"ENSG00000167323.12",267,174,163,455,343,158
"ENSG00000167325.15",1172,1786,2036,1931,2097,1906
"ENSG00000167332.9",0,0,0,0,0,1
"ENSG00000167333.13",48,30,35,73,81,61
"ENSG00000167346.9",0,0,0,0,0,0
"ENSG00000167355.8",0,0,0,0,0,0
"ENSG00000167359.8",0,0,0,0,0,0
"ENSG00000167360.6",0,0,0,0,0,0
"ENSG00000167363.14",249,236,232,558,275,173
"ENSG00000167371.21",12,4,2,5,24,13
